,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
17,18,CNHI,1.47,0.37,-0.39%,7.17%,-24.56%,-43.54%,33.79%,50.86,6.77,-3.29%,-3.70%,0.43%,"2,786,367"
18,19,VER,1.05,0.46,7.68%,22.43%,-16.30%,-33.40%,90.72%,59.12,6.78,-2.87%,-4.10%,1.29%,"52,793,704"
19,20,ESRT,0.73,0.53,-7.32%,-12.06%,-41.93%,-57.08%,5.87%,42.93,6.85,-1.01%,-2.84%,1.88%,"6,265,009"
20,21,GOL,0.88,0.84,8.58%,37.00%,-43.10%,-69.99%,277.84%,55.04,6.99,1.01%,-2.24%,3.32%,"2,006,293"
21,22,MDRX,0.98,0.46,6.77%,10.76%,-17.56%,-40.77%,56.14%,57.85,7.12,3.49%,1.86%,1.60%,"31,341,363"
22,23,GE,0.94,0.47,-1.13%,6.15%,-23.62%,-46.08%,30.47%,50.95,7.15,-1.79%,-3.90%,2.20%,"88,475,101"
23,24,ZIXI,1.39,0.46,4.78%,17.00%,8.25%,-31.49%,153.52%,59.36,7.20,3.45%,2.13%,1.29%,"1,865,831"
24,25,SITC,1.33,0.70,2.51%,21.81%,-32.41%,-52.30%,110.00%,54.54,7.56,-4.42%,-4.06%,-0.38%,"3,355,865"
25,26,FRO,0.53,0.49,-9.22%,-12.36%,-20.80%,-42.99%,24.90%,39.69,7.60,-3.43%,-2.94%,-0.51%,"2,923,114"
26,27,LGF-A,1.48,0.48,-6.04%,0.29%,-12.89%,-43.37%,81.82%,47.29,7.60,0.13%,-2.06%,2.24%,"1,112,681"
27,28,FNB,1.34,0.57,-4.03%,0.18%,-26.36%,-41.07%,50.89%,48.71,7.62,-1.30%,-2.68%,1.42%,"6,620,637"
28,29,SLM,1.41,0.38,-2.76%,0.62%,-12.13%,-37.82%,36.79%,48.52,7.66,-0.39%,-1.67%,1.30%,"16,723,542"
29,30,CRBP,1.43,0.54,4.43%,14.33%,36.28%,-11.32%,133.43%,59.19,7.68,-3.64%,-4.60%,1.00%,"4,647,162"
30,31,VLY,1.30,0.50,-5.57%,0.80%,-20.61%,-35.50%,30.50%,47.94,7.83,-0.76%,-2.25%,1.52%,"4,712,485"
31,32,PGRE,1.04,0.54,-5.78%,-7.89%,-33.06%,-47.63%,22.43%,45.53,7.86,-2.96%,-3.68%,0.74%,"6,466,439"
32,33,CNXM,1.10,0.58,-0.88%,-3.82%,-34.92%,-53.25%,52.31%,43.83,7.92,-1.12%,-3.88%,2.87%,"1,266,440"
33,34,GLNG,0.64,0.75,0.58%,16.17%,-25.48%,-57.45%,77.97%,52.91,8.08,-3.12%,-5.61%,2.64%,"1,299,583"
34,35,ISBC,1.15,0.54,-7.46%,-4.11%,-22.39%,-35.60%,30.03%,45.02,8.20,-1.56%,-2.90%,1.38%,"2,815,169"
35,36,NG,0.56,0.67,-8.48%,-20.42%,0.57%,-34.84%,80.00%,39.50,8.37,4.76%,4.62%,0.13%,"5,460,216"
36,37,BVN,0.91,0.58,3.02%,7.93%,-27.11%,-51.54%,68.95%,54.18,8.65,2.98%,0.35%,2.62%,"4,579,434"
37,38,RESI,0.53,0.52,8.65%,-4.14%,-21.72%,-34.86%,43.93%,51.71,8.65,4.59%,3.47%,1.09%,"1,356,735"
38,39,SHO,1.11,0.63,-7.61%,-1.26%,-26.04%,-39.94%,51.13%,45.16,8.69,-0.46%,-1.81%,1.37%,"9,696,143"
39,40,ARR,1.03,0.61,3.13%,7.36%,-38.60%,-57.49%,81.62%,53.55,8.99,-1.21%,-1.96%,0.77%,"3,106,922"
40,41,UNIT,0.98,0.52,4.24%,21.73%,20.88%,-19.48%,86.21%,60.12,9.05,3.08%,1.80%,1.25%,"4,655,965"
41,42,CVA,1.25,0.53,-3.23%,8.80%,-29.03%,-49.57%,40.79%,50.96,9.25,-2.53%,-3.75%,1.26%,"1,261,040"
42,43,QRTEA,1.33,0.51,5.50%,14.50%,9.28%,-36.75%,207.31%,61.24,9.25,-1.60%,-2.73%,1.17%,"2,918,982"
43,44,GLUU,0.88,0.55,1.06%,7.98%,40.74%,-13.15%,133.92%,53.74,9.31,3.44%,2.76%,0.67%,"6,875,910"
44,45,UAA,1.16,0.73,-2.82%,-0.61%,-39.52%,-65.69%,33.01%,48.23,9.51,-2.76%,-5.18%,2.56%,"8,730,856"
45,46,XHR,1.09,1.06,-8.81%,1.93%,-42.00%,-57.26%,55.74%,46.96,9.57,-6.18%,-7.63%,1.57%,"2,937,129"
46,47,IRWD,1.42,0.68,-5.57%,-6.70%,-11.63%,-31.84%,21.49%,44.99,9.61,-3.71%,-4.19%,0.50%,"5,502,455"
47,48,VSLR,1.27,0.77,12.70%,38.67%,31.18%,-24.48%,209.46%,61.98,9.81,-1.31%,-1.90%,0.60%,"2,736,982"
48,49,HPE,1.34,0.53,-3.56%,-0.63%,-26.10%,-44.17%,32.17%,47.64,9.82,-3.16%,-5.03%,1.97%,"26,726,347"
49,50,ARI,1.24,0.77,2.33%,15.29%,-33.85%,-50.25%,138.59%,54.59,9.83,-2.19%,-2.58%,0.40%,"3,021,753"
50,51,CXW,1.23,0.94,-20.87%,-17.19%,-32.57%,-59.14%,18.13%,36.12,9.84,-3.43%,-4.00%,0.59%,"5,243,397"
51,52,VG,0.56,0.50,1.23%,9.90%,11.07%,-28.00%,136.84%,54.47,9.90,4.87%,3.77%,1.06%,"10,502,485"
52,53,OSUR,0.53,0.80,-16.52%,-26.92%,8.33%,-45.59%,90.06%,30.89,9.94,-2.74%,-3.12%,0.39%,"3,646,490"
53,54,TECK,1.49,0.68,-3.72%,8.91%,-23.61%,-57.08%,78.57%,50.48,10.00,-0.79%,-3.85%,3.17%,"3,629,085"
54,55,APLE,1.06,0.88,-9.86%,4.05%,-25.22%,-40.63%,123.66%,46.00,10.02,-4.75%,-5.56%,0.86%,"6,767,571"
55,56,CTL,0.98,0.46,-1.49%,0.48%,-16.24%,-33.66%,24.39%,49.63,10.15,0.00%,-1.74%,1.77%,"25,763,530"
56,57,LAUR,0.75,0.60,-2.08%,5.83%,-31.89%,-53.09%,39.18%,51.73,10.16,0.79%,0.10%,0.69%,"1,182,970"
57,58,GGAL,1.47,0.84,3.43%,21.31%,-11.75%,-73.94%,80.57%,55.45,10.22,9.54%,6.57%,2.79%,"3,026,027"
58,59,PCG,1.14,0.67,-11.60%,-10.04%,-6.61%,-59.43%,187.89%,35.69,10.22,-5.37%,-6.15%,0.83%,"18,270,139"
59,60,CIM,0.91,0.62,5.72%,21.16%,-38.01%,-55.36%,59.81%,57.20,10.26,-4.20%,-2.56%,-1.68%,"7,299,178"
60,61,NWBI,0.61,0.54,-0.09%,0.14%,-27.84%,-41.94%,20.89%,50.66,10.30,0.10%,-2.00%,2.14%,"3,357,221"
61,62,CCJ,0.91,0.41,-0.47%,1.73%,12.84%,-8.44%,94.49%,52.18,10.31,-0.19%,-1.72%,1.55%,"3,586,193"
62,63,BDN,1.00,0.65,-2.41%,0.44%,-22.89%,-36.25%,38.50%,49.10,10.36,-1.15%,-2.17%,1.05%,"4,903,145"
63,64,UE,1.47,0.79,-3.51%,5.83%,-34.06%,-51.10%,52.29%,49.67,10.63,-2.21%,-3.89%,1.75%,"4,200,133"
64,65,ANF,1.39,0.96,-13.10%,-5.00%,-25.64%,-44.47%,43.63%,43.67,10.65,-7.07%,-9.13%,2.27%,"3,578,830"
65,66,GPS,1.43,1.06,0.24%,19.63%,-24.46%,-46.32%,102.66%,53.52,10.66,-2.29%,-4.57%,2.38%,"17,106,350"
66,67,LXP,0.70,0.41,5.10%,6.26%,2.31%,-9.69%,35.75%,56.96,10.67,-2.91%,-3.61%,0.73%,"16,789,623"
67,68,FULT,0.99,0.70,-4.63%,-2.02%,-27.29%,-40.44%,20.31%,48.05,10.72,-1.11%,-2.72%,1.66%,"2,347,089"
68,69,DENN,1.39,1.03,-8.83%,2.51%,-36.00%,-54.86%,139.56%,45.97,10.78,-4.18%,-6.34%,2.31%,"1,472,855"
69,70,SBS,1.18,0.63,6.54%,28.67%,-4.23%,-27.55%,101.38%,60.95,10.79,1.98%,-1.19%,3.21%,"2,092,572"
70,71,TGNA,1.37,0.60,-7.10%,-1.93%,-24.28%,-40.14%,14.05%,44.40,10.96,-2.84%,-3.94%,1.15%,"2,886,431"
71,72,IVZ,1.40,0.69,16.44%,27.03%,-21.70%,-47.43%,73.96%,62.90,11.09,-2.12%,-3.90%,1.85%,"18,400,559"
72,73,ROIC,1.29,0.88,0.27%,15.16%,-24.45%,-41.94%,90.66%,53.08,11.14,-3.51%,-3.68%,0.17%,"2,940,431"
73,74,PBYI,1.20,0.94,6.80%,7.11%,18.20%,-24.67%,105.45%,55.42,11.30,11.44%,11.55%,-0.10%,"2,632,535"
74,75,RCM,0.52,0.63,-0.37%,9.39%,1.35%,-19.12%,58.92%,52.59,11.31,-1.18%,-2.46%,1.31%,"1,165,232"
75,76,UMPQ,1.25,0.71,-4.46%,0.18%,-23.21%,-40.05%,27.87%,48.22,11.35,-2.62%,-3.85%,1.29%,"5,694,461"
76,77,JBLU,1.35,1.11,-2.09%,15.47%,-25.77%,-47.34%,72.47%,51.57,11.40,-5.32%,-6.79%,1.58%,"20,106,914"
77,78,AEO,1.13,0.86,3.19%,23.40%,-10.68%,-37.33%,76.59%,56.90,11.54,-6.48%,-8.49%,2.19%,"12,967,500"
78,79,HST,1.29,0.83,-7.63%,-0.25%,-22.19%,-38.09%,48.57%,45.58,11.67,-4.34%,-5.74%,1.48%,"24,667,220"
79,80,VGR,1.02,0.50,0.68%,7.25%,-1.18%,-18.38%,48.61%,55.22,11.77,-1.18%,-2.08%,0.92%,"2,500,812"
80,81,GEO,1.04,0.85,-7.55%,-4.32%,-19.28%,-50.68%,18.89%,44.77,11.83,-2.23%,-3.27%,1.07%,"3,982,027"
81,82,NWSA,1.44,0.50,-2.71%,10.58%,-4.76%,-21.30%,50.13%,53.39,11.86,-0.59%,-2.15%,1.59%,"4,687,870"
82,83,PBCT,1.24,0.67,-1.71%,1.50%,-17.70%,-30.49%,27.75%,49.81,11.97,0.00%,-1.72%,1.75%,"11,058,628"
83,84,SBH,1.25,0.95,-13.03%,7.93%,-14.47%,-45.54%,90.61%,43.54,11.97,-7.42%,-7.99%,0.62%,"3,637,956"
84,85,MYGN,1.33,1.02,-16.96%,-18.32%,-45.40%,-75.23%,29.76%,36.79,11.99,-7.20%,-8.12%,1.01%,"4,188,611"
85,86,RAD,0.87,0.88,-6.75%,-7.40%,4.72%,-48.03%,146.23%,43.40,12.41,-1.59%,-2.44%,0.87%,"4,428,251"
86,87,BRX,1.38,1.01,-2.80%,11.59%,-26.89%,-44.33%,68.58%,51.36,12.66,-2.47%,-3.51%,1.08%,"9,269,291"
87,88,KIM,1.17,0.99,-3.40%,14.23%,-24.90%,-41.81%,70.74%,51.67,12.72,-4.58%,-6.54%,2.10%,"12,092,424"
88,89,FEYE,1.06,0.65,1.95%,10.07%,-8.62%,-29.93%,70.42%,55.54,12.85,3.13%,-0.85%,4.01%,"11,011,051"
89,90,OLN,1.39,0.86,-0.53%,-0.77%,-18.04%,-41.77%,47.03%,49.07,12.88,1.82%,-0.08%,1.90%,"9,797,028"
90,91,EQT,1.31,0.96,-9.63%,-5.91%,28.43%,-24.71%,206.89%,41.09,12.92,-5.56%,-6.10%,0.58%,"14,569,186"
