,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
132,133,AIMT,0.94,1.17,1.96%,5.40%,-23.27%,-51.08%,79.39%,52.47,18.10,-4.74%,-5.24%,0.53%,"3,982,979"
133,134,TRIP,1.32,1.68,-15.19%,-6.59%,-31.47%,-57.85%,32.39%,42.80,18.17,-4.17%,-5.51%,1.42%,"6,529,703"
134,135,ALKS,1.47,0.83,9.25%,14.91%,0.57%,-27.61%,53.17%,63.31,18.35,3.38%,2.17%,1.18%,"1,899,190"
135,136,WRI,1.36,1.31,-7.22%,4.56%,-27.19%,-42.46%,51.60%,47.83,18.51,-3.94%,-3.79%,-0.16%,"3,283,565"
136,137,SAVE,1.23,2.36,9.14%,34.09%,-36.16%,-65.93%,168.33%,55.28,18.81,-5.48%,-7.02%,1.66%,"28,390,560"
137,138,SC,1.25,1.17,1.63%,16.73%,-12.48%,-32.14%,93.33%,56.42,18.83,-1.47%,-3.68%,2.30%,"1,571,630"
138,139,SSRM,0.97,1.11,-0.44%,4.47%,15.53%,-15.94%,110.11%,51.52,18.91,5.23%,3.45%,1.73%,"2,661,491"
139,140,SBGI,1.32,1.64,-5.44%,8.58%,-33.92%,-67.99%,80.33%,49.98,19.07,-2.65%,-4.22%,1.63%,"2,180,676"
140,141,EPD,1.38,0.93,-3.69%,5.32%,-18.73%,-38.12%,85.98%,49.09,19.10,-0.47%,-2.85%,2.45%,"6,794,730"
141,142,USFD,1.38,1.56,-6.67%,-0.92%,-40.76%,-55.45%,130.77%,46.12,19.20,-3.95%,-5.28%,1.40%,"3,827,530"
142,143,MPW,0.66,0.86,0.51%,8.28%,-1.83%,-20.75%,55.87%,54.43,19.25,-1.94%,-3.17%,1.27%,"9,993,349"
143,144,BHC,1.26,1.13,4.18%,10.13%,-13.84%,-38.76%,75.61%,57.08,19.58,-2.44%,-3.78%,1.40%,"5,159,729"
144,145,RUN,1.40,1.12,10.44%,31.07%,28.81%,-15.91%,153.92%,64.96,19.90,0.48%,-0.38%,0.86%,"2,706,925"
145,146,CMC,1.39,1.03,10.46%,20.59%,8.84%,-15.56%,88.66%,64.35,20.30,-1.02%,-2.50%,1.51%,"2,491,798"
146,147,TDC,1.03,1.02,-5.21%,-7.73%,-19.08%,-45.96%,15.38%,42.14,20.33,-1.02%,-2.21%,1.22%,"2,084,312"
147,148,BKU,1.27,1.46,3.65%,11.39%,-27.54%,-44.73%,54.27%,54.61,20.78,-1.80%,-4.02%,2.32%,"1,643,319"
148,149,MDU,0.80,1.07,-4.22%,-3.64%,-19.92%,-34.26%,41.20%,45.95,21.18,-1.26%,-2.49%,1.26%,"2,115,832"
149,150,VIPS,1.14,1.07,21.26%,25.72%,54.97%,0.76%,243.44%,70.72,21.19,2.47%,1.39%,1.06%,"9,951,993"
150,151,BEN,1.25,1.12,4.66%,16.85%,-7.15%,-38.64%,47.22%,58.48,21.95,-2.70%,-4.85%,2.26%,"13,753,838"
151,152,CAKE,1.39,2.07,-3.56%,7.49%,-31.14%,-49.77%,57.85%,49.15,22.92,-6.56%,-7.95%,1.51%,"10,175,473"
152,153,LBTYA,1.24,0.83,4.66%,11.34%,6.26%,-19.06%,52.05%,59.05,23.17,-2.30%,-2.71%,0.42%,"1,763,223"
153,154,DAR,1.25,1.18,0.38%,9.73%,5.30%,-18.94%,133.85%,55.41,23.97,0.50%,-0.62%,1.13%,"1,937,283"
154,155,KBR,1.25,1.19,-0.64%,12.32%,-3.92%,-23.65%,103.08%,54.05,24.37,-1.02%,-2.48%,1.50%,"1,897,255"
155,156,STOR,0.92,1.60,8.21%,23.63%,-22.23%,-40.19%,88.46%,60.30,24.50,-2.23%,-4.26%,2.11%,"12,054,122"
156,157,YELP,1.45,1.54,4.78%,12.81%,-16.20%,-37.08%,92.24%,57.03,24.77,-1.04%,-2.25%,1.24%,"1,827,774"
157,158,HOG,1.42,1.67,0.69%,13.38%,-18.60%,-39.30%,73.45%,55.15,24.82,-0.20%,-2.82%,2.69%,"30,692,402"
158,159,AGO,1.23,1.65,-9.73%,-11.22%,-37.83%,-51.01%,82.33%,41.83,24.87,-2.78%,-4.68%,1.99%,"1,466,674"
159,160,BXMT,1.28,1.52,-0.79%,7.11%,-21.48%,-38.43%,97.40%,52.54,25.01,-0.99%,-2.65%,1.70%,"2,952,764"
