No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
76,AU,-3.01%,-6.77%,13.11%,20.30%,63.15%,6.62%,4.40%,4.76%,2.50,4.38M,1.60,23.82,-4.34%,"6,980,347"
77,ILF,17.99%,31.88%,-8.37%,-24.84%,-26.51%,-28.76%,2.59%,2.87%,-,2.45M,1.77,24.20,4.54%,"4,282,909"
78,HGV,14.81%,47.64%,2.11%,-27.73%,-8.00%,-28.09%,5.61%,6.01%,2.50,1.18M,1.83,24.73,1.98%,"2,142,009"
79,CHK,90.62%,67.00%,-42.88%,-83.31%,-93.51%,-84.98%,20.90%,16.38%,3.80,1.95M,5.35,24.80,76.51%,"9,724,988"
80,TRIP,32.21%,40.91%,15.86%,-10.72%,-36.08%,-16.10%,9.07%,7.84%,3.00,4.16M,2.64,25.49,15.81%,"10,782,380"
81,PD,-1.05%,18.92%,34.10%,2.42%,-44.76%,12.31%,7.77%,7.05%,2.10,1.46M,3.31,26.27,-2.41%,"4,653,289"
82,CIT,46.09%,77.02%,-18.59%,-39.69%,-46.03%,-41.92%,9.16%,8.62%,2.20,2.97M,1.68,26.50,13.73%,"4,917,624"
83,HSBC,15.18%,6.97%,-17.70%,-27.20%,-35.53%,-32.08%,1.87%,1.75%,3.00,5.81M,1.73,26.55,5.57%,"9,976,536"
84,KSS,38.29%,59.64%,-23.29%,-42.53%,-44.59%,-47.83%,8.32%,8.26%,3.00,11.27M,1.62,26.58,11.49%,"18,114,450"
85,REM,17.68%,25.01%,-37.93%,-39.38%,-36.89%,-40.06%,5.74%,4.71%,-,1.58M,1.98,26.69,3.21%,"3,056,853"
86,YELP,24.47%,22.33%,-6.50%,-20.83%,-14.29%,-22.31%,6.20%,6.51%,2.90,1.60M,1.62,27.06,15.94%,"2,572,220"
87,HTA,4.00%,12.32%,-19.36%,-8.81%,-4.77%,-9.08%,2.88%,3.49%,2.20,2.39M,1.60,27.53,1.77%,"3,820,336"
88,CAKE,31.28%,43.07%,-10.31%,-34.31%,-37.00%,-27.43%,8.86%,7.83%,2.80,4.05M,1.71,28.20,7.55%,"6,835,360"
89,EWG,10.28%,25.51%,9.34%,-1.93%,2.97%,-3.27%,1.57%,1.55%,-,6.05M,2.30,28.44,1.90%,"13,732,022"
90,KDP,2.76%,7.37%,7.74%,-4.49%,1.16%,-0.90%,2.09%,2.24%,2.50,5.04M,2.23,28.69,0.95%,"11,674,074"
91,PEAK,19.12%,22.14%,-12.96%,-14.66%,-7.82%,-14.85%,4.51%,4.69%,2.40,5.44M,1.54,29.35,5.65%,"8,262,016"
92,GM,18.28%,39.84%,6.69%,-14.50%,-13.02%,-16.37%,3.67%,4.35%,2.00,19.07M,1.55,30.61,4.97%,"29,418,644"
93,SCHC,6.57%,16.69%,3.18%,-9.51%,-2.99%,-11.02%,1.07%,1.25%,-,1.14M,1.87,30.83,1.82%,"2,076,551"
94,CAR,45.98%,152.04%,30.25%,5.29%,5.82%,-2.51%,13.43%,13.58%,2.50,7.23M,1.75,31.43,10.30%,"12,477,643"
95,APLS,-6.68%,-12.28%,-8.68%,5.05%,46.92%,2.68%,5.51%,6.52%,1.70,1.04M,1.78,31.44,-1.96%,"1,854,057"
96,WFC,19.64%,23.66%,-14.61%,-40.51%,-31.03%,-41.13%,4.81%,4.65%,3.10,49.46M,2.21,31.67,4.80%,"107,651,152"
97,NAIL,19.07%,86.11%,-50.59%,-55.10%,-31.06%,-52.71%,8.89%,12.31%,-,1.77M,1.95,32.16,12.41%,"3,359,124"
